File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Owen\AndroidStudioApps\ReadiBites\app\src\main\AndroidManifest.xml,30,28,0,0,2,0,0,0,0,0
C:\Users\Owen\AndroidStudioApps\ReadiBites\app\src\main\java\ws\roberts\android\readibites\AboutContactActivity.java,13,8,5,1,5,0,0,0,0,0
C:\Users\Owen\AndroidStudioApps\ReadiBites\app\src\main\java\ws\roberts\android\readibites\AboutContactFragment.java,65,53,41,2,12,0,0,0,0,0
C:\Users\Owen\AndroidStudioApps\ReadiBites\app\src\main\java\ws\roberts\android\readibites\RBLocation.java,203,148,109,19,55,0,0,0,0,0
C:\Users\Owen\AndroidStudioApps\ReadiBites\app\src\main\java\ws\roberts\android\readibites\RBLocationActivity.java,28,20,16,2,8,0,0,0,0,0
C:\Users\Owen\AndroidStudioApps\ReadiBites\app\src\main\java\ws\roberts\android\readibites\RBLocationFragment.java,196,165,149,6,31,0,0,0,0,0
C:\Users\Owen\AndroidStudioApps\ReadiBites\app\src\main\java\ws\roberts\android\readibites\RBLocationLab.java,1807,1669,1659,7,138,0,0,0,0,0
C:\Users\Owen\AndroidStudioApps\ReadiBites\app\src\main\java\ws\roberts\android\readibites\RBLocationListActivity.java,12,8,5,1,4,0,0,0,0,0
C:\Users\Owen\AndroidStudioApps\ReadiBites\app\src\main\java\ws\roberts\android\readibites\RBLocationListFragment.java,542,456,345,77,86,0,0,0,0,0
C:\Users\Owen\AndroidStudioApps\ReadiBites\app\src\main\java\ws\roberts\android\readibites\SingleFragmentActivity.java,26,19,15,1,7,0,0,0,0,0
C:\Users\Owen\AndroidStudioApps\ReadiBites\app\src\main\res\layout\activity_fragment.xml,7,6,0,0,1,0,0,0,0,0
C:\Users\Owen\AndroidStudioApps\ReadiBites\app\src\main\res\layout\fragment_about_contact.xml,175,162,0,0,13,0,0,0,0,0
C:\Users\Owen\AndroidStudioApps\ReadiBites\app\src\main\res\layout\fragment_rblocation.xml,355,325,0,0,30,0,0,0,0,0
C:\Users\Owen\AndroidStudioApps\ReadiBites\app\src\main\res\layout\fragment_rblocation_list.xml,6,6,0,0,0,0,0,0,0,0
C:\Users\Owen\AndroidStudioApps\ReadiBites\app\src\main\res\layout\list_item_rblocation.xml,252,232,0,0,20,0,0,0,0,0
C:\Users\Owen\AndroidStudioApps\ReadiBites\app\src\main\res\menu\fragment_list.xml,120,108,0,0,12,0,0,0,0,0
C:\Users\Owen\AndroidStudioApps\ReadiBites\app\src\main\res\values\colors.xml,7,6,0,0,1,0,0,0,0,0
C:\Users\Owen\AndroidStudioApps\ReadiBites\app\src\main\res\values\strings.xml,18,15,0,0,3,0,0,0,0,0
C:\Users\Owen\AndroidStudioApps\ReadiBites\app\src\main\res\values\styles.xml,12,9,0,0,3,0,0,0,0,0
