Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,19,3874,3443,2344,116,431,0,0,0,0,0
C:\Users\Owen\AndroidStudioApps\ReadiBites\app\src\main,19,3874,3443,2344,116,431,0,0,0,0,0
C:\Users\Owen\AndroidStudioApps\ReadiBites\app\src\main\java,9,2892,2546,2344,116,346,0,0,0,0,0
C:\Users\Owen\AndroidStudioApps\ReadiBites\app\src\main\java\ws,9,2892,2546,2344,116,346,0,0,0,0,0
C:\Users\Owen\AndroidStudioApps\ReadiBites\app\src\main\java\ws\roberts,9,2892,2546,2344,116,346,0,0,0,0,0
C:\Users\Owen\AndroidStudioApps\ReadiBites\app\src\main\java\ws\roberts\android,9,2892,2546,2344,116,346,0,0,0,0,0
C:\Users\Owen\AndroidStudioApps\ReadiBites\app\src\main\java\ws\roberts\android\readibites,9,2892,2546,2344,116,346,0,0,0,0,0
C:\Users\Owen\AndroidStudioApps\ReadiBites\app\src\main\res,9,952,869,0,0,83,0,0,0,0,0
C:\Users\Owen\AndroidStudioApps\ReadiBites\app\src\main\res\layout,5,795,731,0,0,64,0,0,0,0,0
C:\Users\Owen\AndroidStudioApps\ReadiBites\app\src\main\res\menu,1,120,108,0,0,12,0,0,0,0,0
C:\Users\Owen\AndroidStudioApps\ReadiBites\app\src\main\res\values,3,37,30,0,0,7,0,0,0,0,0
